seed,probe_fraction,memory_id,encoding_position,isyn_score,w_slow,w_fast,assembly_w_fast,gamma0_retention,elapsed_seconds
7042,0.1,3,3,0.03948130752542056,0.03001554310321808,0.09397193044424057,0.09219054877758026,,1724.5762374401093
7042,0.25,0,0,0.05945258040446788,0.06881982088088989,0.04311832785606384,0.039929986000061035,,922.1891684532166
7042,0.25,1,1,0.044399678823538125,0.051756683737039566,0.021973172202706337,0.016266783699393272,,922.1891684532166
7042,0.25,2,2,0.04402734892209992,0.041123390197753906,0.04108158126473427,0.05097731202840805,,922.1891684532166
7042,0.25,3,3,0.039000237338768784,0.030339989811182022,0.09521017968654633,0.09478586912155151,,922.1891684532166
7042,0.5,0,0,0.09131420822814107,0.10786741226911545,0.03449331223964691,0.03947031497955322,,940.2781507968903
7042,0.5,1,1,0.0631633848825004,0.07515966147184372,0.025319742038846016,0.018040131777524948,,940.2781507968903
7042,0.5,2,2,0.08101017097942531,0.0836905986070633,0.04102294147014618,0.056295014917850494,,940.2781507968903
7042,0.5,3,3,0.03750474925618619,0.029976563528180122,0.0932975709438324,0.08008123189210892,,940.2781507968903
7042,0.75,0,0,0.1291260764701292,0.14893470704555511,0.042809393256902695,0.05637522041797638,,864.210291147232
7042,0.75,1,1,0.08477780420798808,0.09932198375463486,0.022723980247974396,0.01703268475830555,,864.210291147232
7042,0.75,2,2,0.0744756949134171,0.0778203010559082,0.0381314717233181,0.04561884328722954,,864.210291147232
7042,0.75,3,3,0.03286282760382164,0.02949453331530094,0.09072952717542648,0.06407299637794495,,864.210291147232
7042,1.0,0,0,0.1602395655354485,0.1857927292585373,0.04195263609290123,0.06834416091442108,,780.809413433075
7042,1.0,1,1,0.10545824468135834,0.12325487285852432,0.02095927484333515,0.015142611227929592,,780.809413433075
7042,1.0,2,2,0.10007550398586318,0.1078454926609993,0.03776050731539726,0.042649734765291214,,780.809413433075
7042,1.0,3,3,0.03707180260971654,0.029834289103746414,0.09368008375167847,0.08199110627174377,,780.809413433075
8042,0.0,0,0,0.028700639006274287,0.029815949499607086,0.05786866322159767,0.07320640236139297,0.006028734613209963,806.9668793678284
8042,0.0,1,1,0.02119143544405233,0.02617873065173626,0.02180284820497036,0.011190792545676231,0.0024585435166954994,806.9668793678284
8042,0.0,2,2,0.03277580578287598,0.028667088598012924,0.045428305864334106,0.05557425692677498,0.015244894661009312,806.9668793678284
8042,0.0,3,3,0.043342345947166905,0.027915842831134796,0.09592564404010773,0.09901329129934311,0.0448199138045311,806.9668793678284
8042,0.1,0,0,0.04717374965548515,0.052877962589263916,0.033219777047634125,0.045264456421136856,,771.8810880184174
8042,0.1,1,1,0.025602756126318127,0.03452078998088837,0.021691320464015007,0.013586940243840218,,771.8810880184174
8042,0.1,2,2,0.029968190006911755,0.026563124731183052,0.0458957776427269,0.05096001178026199,,771.8810880184174
8042,0.1,3,3,0.04173593083396554,0.025970088317990303,0.09206338226795197,0.10217178612947464,,771.8810880184174
8042,0.25,0,0,0.0629276167601347,0.07202155888080597,0.03070749156177044,0.027588581666350365,,768.1518824100494
8042,0.25,1,1,0.041028829757124186,0.052632324397563934,0.023412901908159256,0.01528607215732336,,768.1518824100494
8042,0.25,2,2,0.03919108095578849,0.03454767167568207,0.047163475304841995,0.06108658015727997,,768.1518824100494
8042,0.25,3,3,0.040993184404214844,0.0262912530452013,0.09071104228496552,0.09957107901573181,,768.1518824100494
8042,0.5,0,0,0.09397015831200406,0.10826868563890457,0.02905888482928276,0.03764273598790169,,831.54438996315
8042,0.5,1,1,0.07084613107144833,0.0849379226565361,0.023216040804982185,0.012222266755998135,,831.54438996315
8042,0.5,2,2,0.07202009082539007,0.0792270377278328,0.045687656849622726,0.05470991134643555,,831.54438996315
