seed,condition,memory_id,replay_count,retention,w_slow
23042,BOOST_MEM3,2,6,0.22569067403674126,0.03479938581585884
23042,BOOST_MEM3,3,28,0.2214632008690387,0.01886090822517872
24042,BOOST_MEM3,0,9,0.24437073385342956,0.0648249164223671
24042,BOOST_MEM3,1,10,0.24290462606586516,0.05620136111974716
24042,BOOST_MEM3,2,7,0.23819873435422778,0.04176991805434227
24042,BOOST_MEM3,3,19,0.2230509992223233,0.015074111521244049
25042,BOOST_MEM3,0,7,0.22985638631507754,0.0412386953830719
25042,BOOST_MEM3,1,11,0.24116508476436138,0.05458853766322136
25042,BOOST_MEM3,2,4,0.23191572609357536,0.03452923893928528
25042,BOOST_MEM3,3,23,0.23271331540308893,0.01911906898021698
26042,BOOST_MEM3,0,5,0.23295237915590405,0.04866400733590126
26042,BOOST_MEM3,1,7,0.24161257757805288,0.04999904707074165
26042,BOOST_MEM3,2,15,0.23932943167164922,0.04913341999053955
26042,BOOST_MEM3,3,18,0.22258307528682053,0.017926599830389023
27042,BOOST_MEM3,0,9,0.2257752106525004,0.049274854362010956
27042,BOOST_MEM3,1,11,0.2330291096586734,0.05545808747410774
27042,BOOST_MEM3,2,10,0.22894566599279642,0.043726373463869095
27042,BOOST_MEM3,3,15,0.22520071337930858,0.01907331869006157
28042,BOOST_MEM3,0,13,0.25060376641340554,0.09326604753732681
28042,BOOST_MEM3,1,10,0.2497128383256495,0.06620582938194275
28042,BOOST_MEM3,2,4,0.22197332116775215,0.025474166497588158
28042,BOOST_MEM3,3,18,0.22830784670077264,0.019386790692806244
29042,BOOST_MEM3,0,5,0.2287737219594419,0.047168392688035965
29042,BOOST_MEM3,1,14,0.24700348731130362,0.07049348950386047
29042,BOOST_MEM3,2,12,0.23882381664589047,0.05028483271598816
29042,BOOST_MEM3,3,14,0.22433779831044376,0.01847110129892826
20042,SUPPRESS_MEM0,0,2,0.22064518043771386,0.039117246866226196
20042,SUPPRESS_MEM0,1,12,0.23674739222042263,0.07420428097248077
20042,SUPPRESS_MEM0,2,17,0.240187301998958,0.07071428745985031
20042,SUPPRESS_MEM0,3,14,0.21698999451473355,0.018016373738646507
21042,SUPPRESS_MEM0,0,1,0.21702114981599152,0.033442042768001556
21042,SUPPRESS_MEM0,1,14,0.24550716602243483,0.08579091727733612
21042,SUPPRESS_MEM0,2,17,0.25238083442673087,0.08308954536914825
21042,SUPPRESS_MEM0,3,13,0.21413242537528276,0.017977463081479073
22042,SUPPRESS_MEM0,0,1,0.22647307813167572,0.029014550149440765
22042,SUPPRESS_MEM0,1,11,0.24662432400509715,0.0703904777765274
22042,SUPPRESS_MEM0,2,16,0.24271726747974753,0.05112124979496002
22042,SUPPRESS_MEM0,3,18,0.2348128934390843,0.015666162595152855
23042,SUPPRESS_MEM0,0,1,0.2163207484409213,0.029808996245265007
23042,SUPPRESS_MEM0,1,15,0.2380514624528587,0.07491560280323029
23042,SUPPRESS_MEM0,2,12,0.23887103353627026,0.06035568565130234
23042,SUPPRESS_MEM0,3,17,0.2226291815750301,0.018917687237262726
